Condition	Frequency	Block	Timing File	TaskObject#1	
53	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_52.0 _Dur_800.wav)
54	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_52.0 _Dur_800.wav)
55	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_56.0 _Dur_800.wav)
56	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_56.0 _Dur_800.wav)
57	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_56.0 _Dur_800.wav)
58	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_56.0 _Dur_800.wav)
59	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_56.0 _Dur_800.wav)
60	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_56.0 _Dur_800.wav)
61	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_60.0 _Dur_800.wav)
62	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_60.0 _Dur_800.wav)
63	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_60.0 _Dur_800.wav)
64	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_60.0 _Dur_800.wav)
65	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_60.0 _Dur_800.wav)
66	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_60.0 _Dur_800.wav)
67	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_0_RF_0.0_RP_0_MD_0.0_RV_0.0_Dur_800.wav)	
